Sn No,TECHNOLOGY,QUESTION,SOLUTION,SEVERITY,PRIORITY,CREATED_USER,CREATED_DATE,CLOSED_USER,CLOSED_DATE,RESOLUTION_TIME,CITY,Latitude,Longitude
1,Azure Analysis Services,Issues when importing Power BI modell to Azure Analysis Service,"Try the following solutions:
1. Check for compatibility: Ensure that the version of the Power BI desktop application you used to create the model is compatible with Azure Analysis Services. You may need to upgrade your version of Power BI desktop or Azure Analysis Services to ensure compatibility.
2. Verify data source credentials
3. Check for missing dependencies
4. Reduce model size: If you are experiencing issues with importing a large model, consider reducing the size of the model by removing any unnecessary tables or columns. This can help to reduce the amount of data that needs to be imported, which can improve performance and reduce the likelihood of errors.
5. Check the compatibility level of the model: Ensure that the compatibility level of the model is set correctly. The compatibility level should match the version of Analysis Services that you are using.
6. Check for any customizations: Verify that there are no customizations or extensions in the Power BI model that are not supported in Azure Analysis Services. You may need to remove any unsupported customizations before importing the model.
7. Test the model before importing",high,low,Grace,22-11-2021,Nathan,24-11-2021,4,Sugar Land,29.58740234,-95.61246491
2,Azure Analysis Services,Can you suggest any solutions for security issues in Azure Analysis Services?,"Here are some best practices that you can follow to address security issues in Azure Analysis Services:
1. Implement Role-Based Access Control (RBAC): Use Azure Active Directory (Azure AD) to manage access to Azure Analysis Services by creating groups, roles, and users, and assigning permissions to specific objects.
2. Secure communication: Make sure that SSL/TLS is enabled to encrypt communications between client and server, and use Azure Private Link or Azure Virtual Network to restrict access to the Azure Analysis Services instance.
3. Monitor activity: Enable auditing and monitoring to detect suspicious activity and ensure compliance with regulatory requirements.
4. Implement row-level security: Use row-level security (RLS) to restrict access to specific rows of data based on the user's role.
5. Use Azure Key Vault: Store and manage encryption keys and secrets in Azure Key Vault to ensure that they are secure and not accessible to unauthorized users.",high,medium,Frank,11-11-2020,James,13-11-2020,21,Washington,38.96872711,-76.84075928
3,Azure Analysis Services,I am experiencing issues when connecting Azure Analysis Services to my storage account. What steps should I take to resolve this issue?,"Here are some possible solutions:
1. Ensure that the storage account is in the same region as your Azure Analysis Services instance. If they are in different regions, you may experience latency issues or connection errors.
2. Make sure that the firewall settings of your storage account are properly configured to allow access from your Azure Analysis Services instance. You can do this by adding the IP address of the Analysis Services instance to the allowed IP address list in the firewall settings.
3. Check that the connection string is correct and properly formatted. The connection string should include the name of the storage account, the access key, and the container name.
4. Make sure that the storage account is properly configured to allow access using the access key. You can check this by ensuring that the access key is valid and has not expired.
5. Check that the credentials used to connect to the storage account have the necessary permissions to access the container. You can do this by checking the access policies in the container settings.
6. If you are using a virtual network (VNet) with your Azure Analysis Services instance, make sure that the VNet and the storage account are peered or connected via a VPN gateway.
7. Try restarting both the Azure Analysis Services instance and the storage account to see if that resolves the connection issue.",medium,high,Emily,13-05-2020,Lucas,15-05-2020,4,Murfreesboro,35.76424408,-86.34119415
4,Azure Analysis Services,"Looking for a performance monitoring tool for Azure Analysis Services, any recommendations?","You can use Metrics from portal that will give you detailed information. here is additional
information on how to do - - - - > https://docs.microsoft.com/en-us/azure/analysis-services/analysis-services-monitor",low,low,David,27-08-2020,Madison,28-08-2020,2,Los Angeles,34.06435013,-118.437088
5,Azure Analysis Services,"I was wondering, I have two cubes on my Azure Analysis Services with an estimated size of 4.8gb and 500mb (estimated in SSMS). So approximately 5.3gb on my server. But when I go to the metrics in Azure Analysis Services, and click on Memory, I see 9.8gb used. There is so a real gap between those two values.

Any idea how the ""missing"" 4.5gb are used ?","Do you see this change while refreshing data on cubes?
If yes, then it is usual behaviour of Azure Analysis services where while refreshing the cubes, 2.5 times is the total memory in use approximately until the complete cube is refreshed.

The reason we got from experts is old data is still present in memory until the new one is not fully processed and stored.",low,low,Grace,27-08-2020,Madison,30-08-2020,15,Ventura,34.24124908,-119.1945419
6,Azure Analysis Services,How do I get the size of my tabular model database in Azure Analysis Services?,"You can get the size of an Analysis Services database in Azure Analysis Services for a Tabular model by following these steps:-
1. Go to the Azure portal and open your Analysis Services instance.
2. In the left-hand menu, click on ""Databases"" to see a list of all databases in the instance.
3. Select the database you want to check the size of.
4. In the top menu, click on ""Metrics"".
5. In the ""Metric Namespace"" dropdown, select ""Analysis Services Server"".
6. In the ""Metric"" dropdown, select ""Database Size"".
7. Set the time range for the metric you want to view.
8. The ""Average"" value under ""Metric Value"" will show you the database size in bytes. You can convert this value to a more readable format, such as GB or TB, as needed.
Alternatively, you can also use the XMLA endpoint to run a DISCOVER_XML_METADATA command to retrieve the size information for the database.",critical,high,Grace,27-08-2020,Gabriella,30-08-2020,3,Sacramento,38.50247574,-121.4231873
7,Azure Analysis Services,"I'm trying to deploy my tabular model to Azure Analysis services using Visual Studio 2019 but it is keep showing me error below:

Cannot deploy metadata. Reason: An error occurred while connecting to the server.

I have installed latest project extension in Visual Studio 19 but no changes. When I am trying to use Visual Studio 2022 deployment works. Can someone please help?","Here are some potential solutions:
1. Make sure that you have the correct server name, user credentials, and database name in your connection string. Check that you can connect to the server using SQL Server Management Studio or another tool.
2. Ensure that your firewall rules are set up correctly to allow traffic to and from the server. You can check the firewall settings in the Azure portal.
3. Check that the Analysis Services service is running and that it is accessible from your machine. You can test this by connecting to the server using SQL Server Management Studio.
4. Try deploying the model from Visual Studio 2019 on a different machine to see if the issue is related to your local environment.
5. Check if there are any restrictions or limitations with the specific version of Visual Studio you are using. You may need to update to a later version or apply a hotfix.
6. Try creating a new project in Visual Studio 2019 and copy over the contents of your existing project. This may help to resolve any configuration issues that are causing the error.",medium,low,Charlie,09-12-2022,Gabriella,12-12-2022,8,Sacramento,38.48671341,-121.459343
8,Azure Analysis Services,"Azure Analysis Service After Deployment with Import From Server (Tabular)
have Duplicate Model",https://stackoverflow.com/a/69811295,medium,medium,Emily,09-12-2022,Madison,11-12-2022,6,Douglasville,33.71754074,-84.66046906
9,Azure Analysis Services,"How to build and deploy SSAS tabular from VSTS through CI/CD locally and
to Azure Analysis services",https://stackoverflow.com/a/54791971,low,high,Alice,16-07-2023,James,19-07-2023,33,Fort Washington,42.3069191,-88.8275528
10,Azure Analysis Services,"Whenever I run an SSIS package containing an Analysis Services Processing Task using a scheduled SQL Server job, it fails with an error message mentioning the OLAP storage engine and a measure group processing error. However, it runs without any issues when I run it manually. Can someone please help me figure out what's going on?","The SQL Server Agent service account may not have sufficient permissions. You can validate this by doing any of the following:
1. Add the service account to the Administrators group on the analysis services server to validate this issue. Let the job run as scheduled.
2. Create a proxy that runs under your credentials and set the job to execute under the proxy. Let the job run as scheduled.
3. Change the SQL Server Agent to use your credentials. Let the job run as scheduled.
If the job completes successfully after making any of the above changes, then you have a permission issue that you need to resolve.",medium,low,Charlie,25-09-2021,Gabriella,26-09-2021,25,Atlanta,33.68620682,-84.49389648
