Sn No,TECHNOLOGY,QUESTION,SOLUTION,SEVERITY,PRIORITY,CREATED_USER,CREATED_DATE,CLOSED_USER,CLOSED_DATE,RESOLUTION_TIME,CITY,Latitude,Longitude
1,Azure Data Factory,"I am failing to launch the data gateway express setup from Azure 
Classic Portal, help me in solving it","1. Switch to Internet Explorer if you fails with other browsers.
 Or

2. Use the ""Manual Setup"" links shown on the same blade in the portal to do 
the installation, and then copy the Key that is provided on the screen, and 
paste when the Data Management Gateway configuration is ready. If it doesn't 
launch, check your start menu for ""Microsoft Data Management Gateway"" 
and paste in the key when it launches.",low,medium,Alice,17-09-2021,Nathan,19-09-2021,19,Smyrna,32.95944214,-96.76813507
2,Azure Data Factory," I am getting error in PowerShell request fails with error 400 bad request ""No registered resource provider found...""","We recommend that you use the latest version of the ADF cmdlets, which are now part of the Azure PowerShell Download, such as the download from this URL: http://go.microsoft.com/?linkid=9811175&clcid=0x409",medium,medium,Charlie,17-09-2021,Emma,18-09-2021,13,Chicago,41.80830002,-87.66905975
3,Azure Data Factory,I Could not load resource while opening pipeline,The solution is to fix JSON files at first and then reopen the pipeline using Authoring tool.,medium,low,Alice,17-09-2021,Olivia,19-09-2021,14,Fontana,34.09395981,-117.4498901
4,Azure Data Factory,"Error ""Unable to find a Delivery Controller"" when you launch Citrix Studio","To resolve this issue, start the Citrix Delegated Administration Service. If you have more than one Delivery Controllers in the site, make sure the service startup type is set to ' Automatic' and the service is ' Running' on all Delivery Controllers.",low,high,Frank,17-09-2021,Nathan,18-09-2021,25,Albuquerque,35.08756256,-106.6438065
5,Azure Data Factory,In Azure Databricks it had returned an Error code: 3200,"By default, the Azure Databricks access token is valid for 90 days.
 Create a new token and update the linked service.",low,low,Bob,19-10-2023,Daniel,21-10-2023,3,Watsonville,37.05044556,-121.7598801
6,Azure Data Factory,Invalid Python file URI... Please visit Databricks user guide for supported URI schemes.,"Specify either absolute paths for workspace-addressing schemes, or dbfs:/folder/subfolder/foo.py for files stored in the Databricks File System (DFS).
",critical,high,Alice,08-12-2022,Gabriella,11-12-2022,12,Phoenix,33.4926796,-112.2088623
7,Azure Data Factory,"Could not parse request object: Expected 'key' and 'value' to be set for JSON map field base_parameters, got 'key: ""...""' instead.",Inspect the pipeline JSON and ensure all parameters in the baseParameters notebook specify a nonempty value.,medium,medium,Charlie,08-12-2022,Harry,10-12-2022,10,Greensburg,40.3028183,-79.54406738
8,Azure Data Factory,"The cluster is in Terminated state, not available to receive jobs. 
""Please fix the cluster or retry later.""
","To avoid this error, use job clusters.",low,medium,Frank,27-12-2021,Katherine,28-12-2021,36,Woodside,40.74287415,-73.89524078
9,Azure Data Factory,"There were already 1000 jobs created in past 3600 seconds, exceedingrate limit: 1000 job creations per 3600 seconds.","Check all pipelines that use this Databricks workspace for their job creation rate.If pipelines launched too many Databricks runs in aggregate, migrate some 
pipelines to a new workspace.",high,high,Charlie,27-12-2021,Emma,29-12-2021,11,Wheeling,40.0639801,-80.72141266
10,Azure Data Factory,How can I schedule a pipeline?,"You can use the scheduler trigger or time window trigger to schedule a pipeline. The trigger uses a wall-clock calendar schedule, which can schedule pipelines periodically or in calendar-based recurrent patterns",medium,high,David,27-12-2021,Daniel,28-12-2021,14,Stockton,37.98533249,-121.2976837
