Sn No,TECHNOLOGY,QUESTION,SOLUTION,SEVERITY,PRIORITY,CREATED_USER,CREATED_DATE,CLOSED_USER,CLOSED_DATE,RESOLUTION_TIME,CITY,Latitude,Longitude
1,PowerBI,Issue with Power bi date slicer,"If you are experiencing an issue with the date slicer in Power BI, there could be several reasons why this is happening. Here are some common issues and their potential solutions:
1. The date slicer is not filtering data correctly: This could be due to incorrect data type or formatting of the date column in the data source. To resolve this issue, check the data type of the date column and ensure that it matches the format of the date slicer.
2. The date slicer is not displaying all the available dates: This could be due to the range of dates selected in the slicer. To resolve this issue, adjust the range of dates displayed in the slicer or increase the granularity of the slicer.
3. The date slicer is not working at all: This could be due to a corrupted Power BI file or a bug in the Power BI software. To resolve this issue, try restarting Power BI or creating a new file and recreating the date slicer.
4. The date slicer is not interacting with other visuals or filters: This could be due to the order of the visuals in the report page or incorrect interaction settings. To resolve this issue, adjust the order of the visuals or update the interaction settings to ensure that the date slicer is interacting with the desired visuals and filters.
If the issue persists, you may need to consult with a Power BI expert or Microsoft Support for further assistance.",medium,medium,David,08-11-2022,Lucas,09-11-2022,3,Elmhurst,40.74718475,-73.87696838
2,PowerBI,The date slicer is not filtering data correctly,"If your Power BI date slicer is not filtering data correctly, here are some possible solutions to try:
1. Check your data
2. Check your date hierarchy: Verify that your date hierarchy is set up correctly. If your date slicer is not filtering data correctly, it could be because the date hierarchy is not set up correctly. In Power BI, you can set up a date hierarchy by right-clicking on the date field in your data model and selecting ""New Hierarchy.""
3. Check your date slicer settings: Verify that the date slicer is set up correctly. Check the ""Filters"" pane to ensure that the slicer is set up to filter the correct data field.
4. Check the date range: Verify that the date range selected in the date slicer is correct. If you are not seeing the expected data, it could be because the date range is incorrect or too narrow.
5. Check your relationship between data tables: If your data model contains multiple tables, ensure that the tables are correctly related. Incorrect relationships between tables can cause data to be excluded or incorrectly filtered.
6. Refresh your data
7. Contact Microsoft Support",critical,medium,David,08-11-2022,Gabriella,11-11-2022,6,San Diego,32.77581406,-117.135437
3,PowerBI,What are the solutions for resolving issues with B2C authentication environments when using the OData Connector in Power BI?,"Try the following solutions:
1. Ensure that you have the correct authentication settings: Verify that you have the correct authentication settings for your B2C environment. This may include settings such as the tenant ID, client ID, and client secret.
2. Check that the application is registered: Ensure that the application you are trying to access is registered in your B2C environment. You may need to register the application manually if it is not already registered.
3. Confirm that the application has the appropriate permissions: Verify that the application has the appropriate permissions to access the data you are trying to retrieve via the OData Connector. This may require updating the application permissions in your B2C environment.
4. Check that the user has the correct permissions: Ensure that the user account you are using to access the data has the correct permissions to access the data in the B2C environment.
5. Try using the OData feed URL directly: If you continue to experience issues, try using the OData feed URL directly in your browser to confirm that you are able to access the data.
6. Check that the OData Connector version is up to date
7. Check for known issues or bugs: Check for any known issues or bugs related to B2C authentication environments and the OData Connector, and follow any recommended solutions or workarounds.",critical,high,David,12-06-2022,James,13-06-2022,6,Aurora,39.70932007,-104.8145828
4,PowerBI,Unchanged Azure Dataflow Shows Validation Error On Flow Expression,"1. Check if the query you have used is valid.
2. Check all the input fields within the dataflow transformation if there is any field highlighted in red.
3. If above doesnt work, then delete and create a new dataflow and add your expressions or queries without any errors. Validate everytime you add any transformation to get a clear answer where you are making the error.
4. Debug will not run if you have any invalid fields within the dataflow. There might be any expression field which is invalid and hence u r getting validation error.",high,low,David,11-10-2021,Daniel,12-10-2021,12,Victorville,34.50935745,-117.3302917
5,PowerBI,"Power BI Dataflow - Validating Queries - Extremely, Extremely, Extremely Slow","There are a few known limitations to using Enterprise Gateways and dataflows:
1. Each dataflow may use only one gateway. As such, all queries should be configured using the same gateway.
2. Changing the gateway impact the entire dataflow.
3. If several gateways are needed, the best practice is to build several dataflows (one for each gateway) and use the compute or entity reference capabilities to unify the data.
4. Dataflows are only supported using enterprise gateways. Personal gateways will not be available for selection in the drop down lists and settings screens.
So it requires to assign an administator role of the gateway to others once you want them to add entities to the dataflow.",medium,medium,Emily,11-10-2021,Madison,14-10-2021,11,Aurora,39.75177002,-104.7829666
6,PowerBI,Power BI Data Load Hang and Message,"If you are experiencing a data load hang in Power BI, it may be due to a variety of factors such as connectivity issues, large data volumes, or performance problems with the source system.
To diagnose the issue, you can check the following:
1. Check the network connection and ensure that the data source is available and accessible.
2. Check if there are any error messages or warnings in the Power BI error logs.
3. Check if there are any performance issues with the data source or Power BI environment.
4. Try reducing the data volume or optimizing the data source query to improve performance.
If the issue persists, you may need to consult with a Power BI expert or Microsoft Support for further assistance.",high,low,Bob,09-06-2020,Madison,10-06-2020,24,Wayne,39.96281815,-75.05174255
7,PowerBI,"I've noticed that the calendar month and days in the Power BI date slicer 
are being displayed in a language other than English, and it's causing some confusion. How can I adjust the language settings to fix this issue?","If my understanding is correct you are trying to embed the Power Bi in your angular application.
In the embed configuration you can mention, Language and Locale setting.
var embedConfig = {
    ...
    settings: {
        localeSettings: {
            language: ""en"",
            formatLocale: ""en""
        }
    }
};
Or
You could add &language=en and &formatlocale=en parameters to the embed URL
https://powerbiembedurl&language=en&formatlocale=en",medium,medium,David,09-06-2020,Emma,12-06-2020,20,Los Angeles,34.09960938,-118.3507385
8,PowerBI,"Power BI embedded, direct query, not refreshing","If your Power BI embedded report with a direct query data source is not refreshing, there could be several reasons why this is happening. Here are some common issues and their potential solutions:
1. The data source is not set up for automatic refresh: In order for the data to refresh in a direct query scenario, the data source must be set up for automatic refresh. Check the settings in the data source and ensure that automatic refresh is enabled.
2. The refresh schedule is not set correctly: Even if automatic refresh is enabled, the refresh schedule may not be set correctly. Check the settings in the data source and ensure that the refresh schedule is set to a frequency that meets your needs.
3. The report is not configured for automatic page refresh: If the report is not configured for automatic page refresh, you may need to manually refresh the page to see updated data. Configure the report for automatic page refresh to resolve this issue.
4. There is a caching issue: In some cases, the data may be cached and not refreshing properly. Clear the cache in the browser or the Power BI service to see if this resolves the issue.
5. There is a bug in the Power BI software: If none of the above solutions work, it is possible that there is a bug in the Power BI software. Check for any known issues or bugs with the version of Power BI you are using, and consider contacting Microsoft Support for further assistance.

If the issue persists, you may need to consult with a Power BI expert or Microsoft Support for further assistance.",medium,medium,Alice,09-06-2020,Lucas,11-06-2020,15,New Orleans,29.96774292,-90.03494263
9,PowerBI,Issue publishing report to Power BI Workspace,"If you're having trouble publishing a Power BI report from the desktop application to your Power BI workspace in Azure, there are several things you can try to troubleshoot the issue:
1. Check your workspace settings: Make sure that your Azure workspace is set up to receive reports published from the desktop application. Check the workspace settings to ensure that the ""Allow external guest users to edit content"" option is turned on.
2. Check the report size: Large reports may take longer to publish or may exceed the size limit for your workspace. Check the size of your report and consider splitting it into smaller sections or reducing the size of visuals to speed up publishing.
3. Try publishing from the web: If publishing from the desktop application continues to fail, try publishing the report from the Power BI web portal instead. This can help you identify whether the issue is specific to the desktop application.
4. Update Power BI desktop
5. Contact Microsoft Support: If none of the above solutions work, you may need to contact Microsoft Support for further assistance.",high,low,Henry,09-06-2020,Madison,10-06-2020,5,Davis,38.54666138,-121.7412109
10,PowerBI,"I'm having trouble creating Pivot Columns in Power BI. What could be 
causing the issue, and how can I fix it?","If you're experiencing issues with Pivot Columns in Power BI, there are several things you can try to troubleshoot the issue:
1. Check your data
2. Verify your Power Query settings: Pivot columns can be created using Power Query. Check your Power Query settings to ensure that you are properly defining the columns that you want to pivot.
3. Check for errors: Look for any error messages that may be related to Pivot Columns. If you receive an error message, read it carefully to understand the nature of the issue.
4. Refresh your data
5. Use DAX: Pivot Columns can also be created using DAX. If you're having issues with Power Query, try creating your Pivot Columns using DAX instead.
6. Update Power BI Desktop
7. Contact Microsoft Support",medium,low,Frank,09-06-2020,Harry,12-06-2020,21,Bronx,40.9066658,-73.85459137
