Sn No,TECHNOLOGY,QUESTION,SOLUTION,SEVERITY,PRIORITY,CREATED_USER,CREATED_DATE,CLOSED_USER,CLOSED_DATE,RESOLUTION_TIME,CITY,Latitude,Longitude
1,Azure HDInsight,How to Troubleshoot a slow or failing job on a HDInsight cluster can you help me In solving this issue?,"Step 1: Gather data about the issue
Step 2: Validate the HDInsight cluster environment
Step 3: View your cluster's health
Step 4: Review the environment stack and versions
Step 5: Examine the log files
Step 6: Check configuration settings
Step 7: Reproduce the failure on a different cluster",low,medium,Grace,17-06-2022,Madison,20-06-2022,29,Bronx,40.89218521,-73.86238098
2,Azure HDInsight,I am not able to delete an existing HDInsight cluster from my system?,"Delete an HDInsight cluster using your browser, PowerShell, or the Azure CLI
Azure portal
-Sign in to the Azure portal.
-From the left menu, navigate to All services > Analytics > HDInsight clusters and select your cluster.
-From the default view, select the Delete icon. Follow the prompt to delete your cluster.
Azure PowerShell
-Replace CLUSTERNAME with the name of your HDInsight cluster in the code below. From a PowerShell prompt, enter the following command to delete the cluster
Azure CLI
-Replace CLUSTERNAME with the name of your HDInsight cluster, and RESOURCEGROUP with the name of your resource group in the code below. From a command prompt, enter the following to delete the cluster",high,high,Grace,17-06-2022,Gabriella,20-06-2022,32,Jacksonville,34.74834824,-77.42848206
3,Azure HDInsight,Can I deploy an additional virtual machine within the same subnet as an HDInsight cluster?,Standalone nodes: You can add a standalone virtual machine to the same subnet and access the cluster from that virtual machine by using the private end point https://<CLUSTERNAME>-int.azurehdinsight.net.,medium,high,Bob,24-11-2021,Emma,25-11-2021,24,Tallahassee,30.49506187,-84.24580383
4,Azure HDInsight,When I am creating a keytab for an HDInsight ESP cluster I have got an error please help me with it?,"Create a Kerberos keytab for your domain username.
You can later use this keytab to authenticate to remote domain-joined
clusters without entering a password. The domain name is uppercase:
Use this commands:
ktutil
ktutil: addent -password -p <username>@<DOMAIN.COM> -k 1 -e aes256-cts-hmac-sha1-96
Password for <username>@<DOMAIN.COM>: <password>
ktutil: wkt <username>.keytab
ktutil: q",medium,medium,Frank,24-11-2021,Madison,25-11-2021,11,Tallahassee,30.49506187,-84.24580383
5,Azure HDInsight,I am facing issues while I try to Authenticate Azure HDInsight,"This article describes troubleshooting steps and possible resolutions for issues when interacting with Azure HDInsight clusters.

On secure clusters backed by Azure Data Lake (Gen1 or Gen2), when domain users sign in to the cluster services through HDI Gateway (like signing in to the Apache Ambari portal), HDI Gateway will try to obtain an OAuth token from Azure Active Directory (Azure AD) first, and then get a Kerberos ticket from Azure AD DS. Authentication can fail in either of these stages. This article is aimed at debugging some of those issues.

When the authentication fails, you will get prompted for credentials. If you cancel this dialog, the error message will be printed. Here are some of the common error messages:",medium,low,Grace,24-11-2021,Katherine,26-11-2021,29,Jacksonville,30.35342217,-81.51309204
6,Azure HDInsight,"As I enabled the io cache in Hdinsight 4.0 with spark 2.4 or spark 2.3, RM gets into issues. Any pointers to it?","Step 1: In Apache Ambari, select the HDFS service on the left.
Step 2:Select the Configs and Advanced tabs.
Step 3:In Apache Ambari, select the HDFS service on the left.
Step 4:Select the Configs and Advanced tabs.
Step 5:Change the value in the box.
Step 6:Select Save on the upper right.
Step 7:Select Restart > Restart All Affected.
Step 8:Select Confirm Restart All.
If that doesn't work, disable IO Cache.",high,low,Emily,24-11-2021,Harry,25-11-2021,21,Riverside,33.94258881,-117.4573898
7,Azure HDInsight,"My code works fine when running locally, but tends to fail when 
deploying to a multi-node cluster. How do I isolate the problem to determine if the issue is with my multi-node cluster or something else?","Sometimes errors can occur due to the parallel execution of multiple map and reduce components on a multi-node cluster. Consider emulating distributed testing by running multiple jobs on a single node cluster at the same time to detect errors, then expand this approach to run multiple jobs concurrently on clusters containing more than one node in order to help isolate the issue.

You can create a single-node HDInsight cluster in Azure by specifying the advanced option when creating the cluster. Alternatively, you can install a single-node development environment on your local computer and execute the solution there. A single-node local development environment for Hadoop-based solutions that is useful for initial development, proof of concept, and testing is available from Hortonworks.

By using a single-node local cluster you can rerun failed jobs and adjust the input data, or use smaller datasets, to help you isolate the problem. How you go about rerunning jobs depends on the type of application and on which platform it is running.",critical,high,Henry,30-04-2021,Finn,01-05-2021,9,Troy,42.5804596,-83.15601349
8,Azure HDInsight,How do I change timezone in Ambari?+D182,"1. Open the Ambari Web UI at https://CLUSTERNAME.azurehdinsight.net, where CLUSTERNAME is the name of your cluster.
2. In the upper-right corner, select admin | Settings.
3. In the User Settings window, select the new timezone from the Timezone drop down, and then click Save.",medium,low,Charlie,05-12-2020,Daniel,08-12-2020,24,Tempe,33.40329361,-111.9140549
9,Azure HDInsight,How can I estimate the size of a Hive metastore database?,"A Hive metastore is used to store the metadata for data sources 
that are used by the Hive server. The size requirements depend partly on the number and complexity of your Hive data sources. These items can't be estimated up front. As outlined in Hive metastore guidelines, you can start with a S2 tier. The tier provides 50 DTU and 250 GB of storage, and if you see a bottleneck, scale up the database.",high,medium,Emily,05-12-2020,Katherine,06-12-2020,21,Chesapeake,36.8747406,-76.25379944
10,Azure HDInsight,"Can I use an existing Azure Active Directory tenant to create an 
HDInsight cluster that has the ESP?","Enable Azure Active Directory Domain Services (Azure AD DS) before you can create an HDInsight cluster with ESP. Open-source Hadoop relies on Kerberos for Authentication (as opposed to OAuth).

To join VMs to a domain, you must have a domain controller. Azure AD DS is the managed domain controller, and is considered an extension of Azure Active Directory. Azure AD DS provides all the Kerberos requirements to build a secure Hadoop cluster in a managed way. HDInsight as a managed service integrates with Azure AD DS to provide security.",high,high,Emily,04-06-2022,Harry,06-06-2022,5,Brooklyn,40.60320664,-73.99624634
